"","dhs_id","site_id","site_name","latitude","longitude","rural_urban","country","country_id","continent_id","month_start","year_start","month_end","year_end","lower_age","upper_age","examined","positive","pr","species","method","rdt_type","pcr_type","malaria_metrics_available","location_available","permissions_info","citation1","citation2","citation3"
"977","UG201600000194",NA,"",NA,NA,"","Uganda","UGA","Africa",9,2016,9,2016,0.7,5,10,1,0.1,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"978","UG201600000195",NA,"",NA,NA,"","Uganda","UGA","Africa",10,2016,10,2016,0.5,5,10,2,0.2,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"979","UG201600000196",NA,"",NA,NA,"","Uganda","UGA","Africa",10,2016,10,2016,1.3,5,7,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"980","UG201600000197",NA,"",NA,NA,"","Uganda","UGA","Africa",9,2016,9,2016,0.6,5,5,1,0.2,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"981","UG201600000198",NA,"",NA,NA,"","Uganda","UGA","Africa",10,2016,10,2016,1,4,10,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"982","UG201600000199",NA,"",NA,NA,"","Uganda","UGA","Africa",9,2016,9,2016,0.8,5,10,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"983","UG201600000200",NA,"",NA,NA,"","Uganda","UGA","Africa",9,2016,9,2016,1.2,5,8,1,0.125,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"984","UG201600000201",NA,"",NA,NA,"","Uganda","UGA","Africa",9,2016,9,2016,0.7,4,13,1,0.0769,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"985","UG201600000202",NA,"",NA,NA,"","Uganda","UGA","Africa",11,2016,11,2016,1.3,5,12,1,0.0833,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"986","UG201600000203",NA,"",NA,NA,"","Uganda","UGA","Africa",8,2016,8,2016,0.7,5,15,6,0.4,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"987","UG201600000204",NA,"",NA,NA,"","Uganda","UGA","Africa",11,2016,11,2016,0.6,5,15,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"988","UG201600000205",NA,"",NA,NA,"","Uganda","UGA","Africa",8,2016,8,2016,1,3,5,1,0.2,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"989","UG201600000207",NA,"",NA,NA,"","Uganda","UGA","Africa",6,2016,6,2016,1.3,5,10,3,0.3,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"990","UG201600000208",NA,"",NA,NA,"","Uganda","UGA","Africa",6,2016,6,2016,0.8,5,12,3,0.25,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"991","UG201600000209",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,7,2016,0.8,5,12,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"992","UG201600000210",NA,"",NA,NA,"","Uganda","UGA","Africa",8,2016,8,2016,1.3,5,15,7,0.4667,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"993","UG201600000211",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,7,2016,0.7,5,8,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"994","UG201600000212",NA,"",NA,NA,"","Uganda","UGA","Africa",8,2016,8,2016,1.1,5,13,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"995","UG201600000213",NA,"",NA,NA,"","Uganda","UGA","Africa",8,2016,8,2016,1.4,4,7,1,0.1429,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"996","UG201600000214",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,7,2016,1.1,4,13,2,0.1538,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"997","UG201600000215",NA,"",NA,NA,"","Uganda","UGA","Africa",8,2016,8,2016,0.9,5,9,1,0.1111,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"998","UG201600000216",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,7,2016,0.8,5,10,9,0.9,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"999","UG201600000217",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,8,2016,0.9,5,11,8,0.7273,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1000","UG201600000218",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,7,2016,0.6,5,11,4,0.3636,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1001","UG201600000219",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,7,2016,1.1,5,9,6,0.6667,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1002","UG201600000220",NA,"",NA,NA,"","Uganda","UGA","Africa",11,2016,11,2016,4.1,5,3,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1003","UG201600000221",NA,"",NA,NA,"","Uganda","UGA","Africa",11,2016,11,2016,1.7,4,6,1,0.1667,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1004","UG201600000222",NA,"",NA,NA,"","Uganda","UGA","Africa",9,2016,10,2016,1.3,5,4,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1005","UG201600000223",NA,"",NA,NA,"","Uganda","UGA","Africa",9,2016,9,2016,2.8,5,5,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1006","UG201600000224",NA,"",NA,NA,"","Uganda","UGA","Africa",8,2016,8,2016,0.8,5,8,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1007","UG201600000225",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,7,2016,0.9,5,6,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1008","UG201600000226",NA,"",NA,NA,"","Uganda","UGA","Africa",10,2016,10,2016,1,5,16,1,0.0625,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1009","UG201600000227",NA,"",NA,NA,"","Uganda","UGA","Africa",9,2016,9,2016,0.9,4,3,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1010","UG201600000228",NA,"",NA,NA,"","Uganda","UGA","Africa",10,2016,10,2016,1.3,5,5,4,0.8,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1011","UG201600000229",NA,"",NA,NA,"","Uganda","UGA","Africa",10,2016,10,2016,1.1,4,9,6,0.6667,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1012","UG201600000230",NA,"",NA,NA,"","Uganda","UGA","Africa",9,2016,9,2016,0.9,4,7,4,0.5714,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1013","UG201600000231",NA,"",NA,NA,"","Uganda","UGA","Africa",9,2016,9,2016,2.8,4,4,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1014","UG201600000232",NA,"",NA,NA,"","Uganda","UGA","Africa",10,2016,10,2016,1,5,11,2,0.1818,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1015","UG201600000233",NA,"",NA,NA,"","Uganda","UGA","Africa",8,2016,8,2016,1.5,4,6,4,0.6667,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1016","UG201600000234",NA,"",NA,NA,"","Uganda","UGA","Africa",8,2016,8,2016,3.4,4,3,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1017","UG201600000235",NA,"",NA,NA,"","Uganda","UGA","Africa",11,2016,11,2016,0.7,5,7,3,0.4286,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1018","UG201600000236",NA,"",NA,NA,"","Uganda","UGA","Africa",11,2016,11,2016,1,5,13,3,0.2308,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1019","UG201600000237",NA,"",NA,NA,"","Uganda","UGA","Africa",11,2016,11,2016,1.1,5,15,6,0.4,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1020","UG201600000238",NA,"",NA,NA,"","Uganda","UGA","Africa",11,2016,11,2016,1.1,4,7,3,0.4286,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1021","UG201600000239",NA,"",NA,NA,"","Uganda","UGA","Africa",11,2016,11,2016,0.8,4,8,2,0.25,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1022","UG201600000240",NA,"",NA,NA,"","Uganda","UGA","Africa",11,2016,11,2016,0.6,5,12,3,0.25,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1023","UG201600000241",NA,"",NA,NA,"","Uganda","UGA","Africa",11,2016,11,2016,0.5,4,6,1,0.1667,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1024","UG201600000242",NA,"",NA,NA,"","Uganda","UGA","Africa",11,2016,11,2016,1.2,3,4,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1025","UG201600000243",NA,"",NA,NA,"","Uganda","UGA","Africa",10,2016,10,2016,1.2,4,4,2,0.5,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1026","UG201600000244",NA,"",NA,NA,"","Uganda","UGA","Africa",10,2016,10,2016,0.8,5,7,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1027","UG201600000245",NA,"",NA,NA,"","Uganda","UGA","Africa",11,2016,11,2016,0.6,5,12,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1028","UG201600000246",NA,"",NA,NA,"","Uganda","UGA","Africa",10,2016,10,2016,1,5,6,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1029","UG201600000247",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,7,2016,0.8,5,5,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1030","UG201600000248",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,7,2016,0.6,5,11,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1031","UG201600000249",NA,"",NA,NA,"","Uganda","UGA","Africa",8,2016,8,2016,0.7,5,7,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1032","UG201600000250",NA,"",NA,NA,"","Uganda","UGA","Africa",8,2016,8,2016,2.3,5,4,1,0.25,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1033","UG201600000251",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,7,2016,2.5,5,3,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1034","UG201600000252",NA,"",NA,NA,"","Uganda","UGA","Africa",6,2016,6,2016,4.5,5,2,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1035","UG201600000255",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,7,2016,0.7,4,4,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1036","UG201600000256",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,7,2016,0.9,5,11,2,0.1818,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1037","UG201600000257",NA,"",NA,NA,"","Uganda","UGA","Africa",8,2016,8,2016,1.1,4,5,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1038","UG201600000258",NA,"",NA,NA,"","Uganda","UGA","Africa",8,2016,8,2016,1.1,4,8,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1039","UG201600000259",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,7,2016,1.2,5,7,2,0.2857,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1040","UG201600000260",NA,"",NA,NA,"","Uganda","UGA","Africa",9,2016,9,2016,1.2,5,11,2,0.1818,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1041","UG201600000261",NA,"",NA,NA,"","Uganda","UGA","Africa",9,2016,9,2016,1.5,5,6,1,0.1667,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1042","UG201600000262",NA,"",NA,NA,"","Uganda","UGA","Africa",8,2016,8,2016,1,5,6,0,0,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1043","UG201600000264",NA,"",NA,NA,"","Uganda","UGA","Africa",12,2016,12,2016,0.5,5,13,3,0.2308,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
"1044","UG201600000265",NA,"",NA,NA,"","Uganda","UGA","Africa",7,2016,7,2016,1.2,5,5,3,0.6,"P. falciparum","RDT","Unknown",NA,"true","false","Site data available from www.measuredhs.com"," (2016). <i>Uganda Demographic and Health Survey 2016.</i> DHS Survey ID 504. Kampala. Uganda Bureau of Statistics. 1-625"," (2012). <b>MEASURE DHS data downloads webpage.</b> Calverton. USAID.",NA
